id	year	month	text
10120	2003	4	Bugis oso near wat...
10121	2003	4	Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
10122	2003	4	I dunno until when... Lets go learn pilates...
10123	2003	4	Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...
10124	2003	4	Meet after lunch la...
10125	2003	4	m walking in citylink now ü faster come down... Me very hungry...
10126	2003	4	5 nights...We nt staying at port step liao...Too ex
10127	2003	4	Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
10128	2003	4	Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn
10129	2003	4	Hey tmr maybe can meet you at yck
10130	2003	4	Oh...i asked for fun. Haha...take care. ü
10131	2003	4	We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
10132	2003	4	t finish my film yet...
10133	2003	4	m having dinner with my cousin...
10134	2003	4	Oh... Kay... On sat right?
10135	2003	4	I need... Coz i never go before
10136	2003	4	s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
10137	2003	4	I am going to sao mu today. Will be done only at 12
10138	2003	4	Hey gals...U all wanna meet 4 dinner at nìte?
10139	2003	4	Jos ask if u wana meet up?
10140	2003	4	Haiyoh... Maybe your hamster was jealous of million
10141	2003	4	is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
10142	2003	4	ve booked the pilates and yoga lesson already... Haha
10143	2003	4	Yup... I havent been there before... You want to go for the yoga? I can call up to book
10144	2003	4	K... Must book a not huh? so going for yoga basic on sunday?
10145	2003	4	Hey so this sat are we going for the intro pilates only? Or the kickboxing too?
10146	2003	4	Sat right? Okay thanks...
10147	2003	4	Yup... From what i remb... I think should be can book...
10148	2003	4	m going to get specs. My membership is PX3748
10149	2003	4	We can go 4 e normal pilates after our intro...
10150	2003	4	Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
10151	2003	4	Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...
10152	2003	4	Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...
10153	2003	4	Wah... Okie okie... Muz make use of e unlimited... Haha...
